net,length_um
clknet_leaf_128_clk_regs,174.32µm
clknet_leaf_121_clk_regs,173.24µm
clknet_leaf_106_clk_regs,173.22µm
decode_stage.rf.rf1_index1\[1\],173.08µm
_05298_,172.905µm
_05685_,172.51µm
_04958_,171.97µm
alu_result_m_i\[3\],171.8µm
decode_stage.rf.rf1rd2\[1\],171.55µm
_07193_,171.34µm
_01544_,171.02µm
_02798_,170.16µm
decode_stage.rf.rf2rd1\[14\],169.85µm
_05969_,169.63µm
_06525_,168.86µm
clknet_leaf_90_clk_regs,168.68µm
_04689_,168.57µm
clknet_leaf_137_clk_regs,167µm
_06666_,166.96µm
clknet_leaf_170_clk_regs,166.96µm
decode_stage.rf.rf1rd2\[5\],166.63µm
_07485_,166.62µm
_04705_,166.58µm
clknet_leaf_62_clk_regs,166.52µm
_01303_,166.5µm
clknet_leaf_171_clk_regs,166.36µm
clknet_leaf_92_clk_regs,165.97µm
_07433_,165.335µm
clknet_leaf_63_clk_regs,165.32µm
_02810_,164.76µm
_05064_,164.675µm
clknet_leaf_51_clk_regs,164.34µm
_05192_,164.31µm
_05047_,164.19µm
decode_stage.rf.rf1_r,164.13µm
_06317_,164.01µm
decode_stage.rf.rf1rd2\[31\],163.91µm
clknet_leaf_103_clk_regs,163.835µm
clknet_leaf_102_clk_regs,163.78µm
clknet_leaf_174_clk_regs,162.64µm
clknet_leaf_48_clk_regs,162.38µm
clknet_leaf_75_clk_regs,162.22µm
clknet_leaf_172_clk_regs,161.85µm
clknet_leaf_141_clk_regs,161.7µm
_06633_,161.68µm
clknet_leaf_80_clk_regs,161.485µm
_06025_,160.295µm
clknet_leaf_49_clk_regs,160.25µm
decode_stage.rf.rf2rd1\[8\],160.09µm
_04688_,159.78µm
_05234_,159.72µm
clknet_leaf_119_clk_regs,159.12µm
clknet_leaf_97_clk_regs,158.94µm
_04694_,158.475µm
_04683_,158.42µm
_01194_,158.395µm
_06457_,158.025µm
_05905_,157.54µm
_07481_,157.46µm
de.alu_control_e\[4\],156.755µm
_07339_,156.565µm
_06241_,156.42µm
clknet_leaf_71_clk_regs,156.395µm
clknet_leaf_138_clk_regs,156.34µm
_04723_,156.26µm
clknet_leaf_129_clk_regs,156.22µm
_03260_,156.2µm
clknet_leaf_111_clk_regs,155.8µm
_05750_,155.54µm
_04724_,155.28µm
_04690_,155.2µm
_04539_,154.79µm
clknet_leaf_112_clk_regs,153.775µm
clknet_leaf_99_clk_regs,153.72µm
clknet_leaf_68_clk_regs,152.98µm
clknet_leaf_66_clk_regs,152.845µm
clknet_leaf_143_clk_regs,152.76µm
clknet_leaf_53_clk_regs,152.44µm
de.funct3_e\[14\],152.3µm
clknet_leaf_52_clk_regs,151.875µm
_05583_,151.745µm
_05032_,151.71µm
_05205_,151.485µm
decode_stage.rf.rf1rd2\[12\],150.87µm
clknet_leaf_115_clk_regs,150.8µm
_03642_,150.76µm
_01359_,150.66µm
_07426_,149.64µm
clknet_leaf_87_clk_regs,149.42µm
_05054_,149.19µm
_06950_,149.18µm
_07490_,149.04µm
decode_stage.rf.rf1rd1\[20\],148.97µm
em.funct3_m\[12\],148.95µm
_04735_,148.76µm
clknet_leaf_161_clk_regs,148.66µm
_06845_,148.315µm
_04753_,148µm
_07450_,147.84µm
clknet_leaf_77_clk_regs,147.68µm
_04743_,147.64µm
_06974_,147.36µm
_07144_,147.32µm
_04775_,147.14µm
clknet_leaf_101_clk_regs,147.105µm
clknet_leaf_50_clk_regs,146.9µm
clknet_leaf_152_clk_regs,146.87µm
_05071_,146.66µm
clknet_leaf_123_clk_regs,146.44µm
_05010_,146.15µm
_05510_,146.11µm
_04850_,145.94µm
_07194_,145.66µm
clknet_leaf_69_clk_regs,145.605µm
_07439_,144.91µm
_02828_,144.6µm
_06817_,144.36µm
_07192_,144.28µm
_05074_,144.27µm
_04750_,144.15µm
_06479_,144.04µm
clknet_leaf_169_clk_regs,143.115µm
_04776_,142.9µm
clknet_leaf_78_clk_regs,142.86µm
_05173_,142.76µm
_04993_,142.58µm
decode_stage.rf.rf2rd1\[13\],142.37µm
_05012_,142.32µm
clknet_leaf_47_clk_regs,142.06µm
_03176_,141.73µm
_04774_,141.56µm
_07489_,141.48µm
_04848_,141.45µm
_05077_,141.38µm
_04719_,141.36µm
clknet_leaf_74_clk_regs,141.08µm
_05068_,140.72µm
clknet_leaf_46_clk_regs,140.5µm
_04030_,140.34µm
_04699_,139.78µm
_07487_,139.66µm
_06703_,139.35µm
clknet_leaf_107_clk_regs,139.16µm
_05070_,138.96µm
clknet_leaf_72_clk_regs,138.95µm
_05069_,138.52µm
clknet_leaf_131_clk_regs,138.38µm
clknet_leaf_117_clk_regs,138.2µm
_07414_,138.08µm
clknet_leaf_86_clk_regs,137.98µm
_04737_,137.84µm
clknet_leaf_109_clk_regs,137.74µm
_06329_,137.535µm
_04812_,137.5µm
_05088_,137.165µm
_06537_,136.93µm
_01327_,136.905µm
_07442_,136.68µm
_05211_,136.625µm
clknet_leaf_144_clk_regs,136.62µm
decode_stage.rf.rf2_index1\[4\],136.53µm
_05072_,136.45µm
_05038_,136.28µm
_05013_,136.21µm
clknet_leaf_166_clk_regs,136.18µm
_05062_,136.125µm
_01302_,136.045µm
de.rd2_e\[13\],135.98µm
_05608_,135.93µm
